number,name,status
398 – Python 3.3 Release Schedule,Python 3.3 Release Schedule,Final
396 – Module Version Numbers,Module Version Numbers,Rejected
391 – Dictionary,Dictionary-Based Configuration For Logging,Final
386 – Changing the version comparison module in Distutils,Changing the version comparison module in Distutils,Superseded
392 – Python 3.2 Release Schedule,Python 3.2 Release Schedule,Final
393 – Flexible String Representation,Flexible String Representation,Final
394 – The “python” Command on Unix,The “python” Command on Unix-Like Systems,Active
383 – Non,Non-decodable Bytes in System Character Interfaces,Final
389 – argparse,argparse - New Command Line Parsing Module,Final
387 – Backwards Compatibility Policy,Backwards Compatibility Policy,Active
384 – Defining a Stable ABI,Defining a Stable ABI,Final
385 – Migrating from Subversion to Mercurial,Migrating from Subversion to Mercurial,Final
390 – Static metadata for Distutils,Static metadata for Distutils,Rejected
382 – Namespace Packages,Namespace Packages,Rejected
380 – Syntax for Delegating to a Subgenerator,Syntax for Delegating to a Subgenerator,Final
379 – Adding an Assignment Expression,Adding an Assignment Expression,Withdrawn
381 – Mirroring infrastructure for PyPI,Mirroring infrastructure for PyPI,Withdrawn
377 – Allow __enter__() methods to skip the statement body,Allow __enter__() methods to skip the statement body,Rejected
378 – Format Specifier for Thousands Separator,Format Specifier for Thousands Separator,Final
373 – Python 2.7 Release Schedule,Python 2.7 Release Schedule,Final
375 – Python 3.1 Release Schedule,Python 3.1 Release Schedule,Final
376 – Database of Installed Python Distributions,Database of Installed Python Distributions,Final
374 – Choosing a distributed VCS for the Python project,Choosing a distributed VCS for the Python project,Final
367 – New Super,New Super,Superseded
369 – Post import hooks,Post import hooks,Withdrawn
370 – Per user site,Per user site-packages directory,Final
372 – Adding an ordered dictionary to collections,Adding an ordered dictionary to collections,Final
371 – Addition of the multiprocessing package to the standard library,Addition of the multiprocessing package to the standard library,Final
368 – Standard image protocol and class,Standard image protocol and class,Deferred
364 – Transitioning to the Py3K Standard Library,Transitioning to the Py3K Standard Library,Withdrawn
366 – Main module explicit relative imports,Main module explicit relative imports,Final
363 – Syntax For Dynamic Attribute Access,Syntax For Dynamic Attribute Access,Rejected
361 – Python 2.6 and 3.0 Release Schedule,Python 2.6 and 3.0 Release Schedule,Final
362 – Function Signature Object,Function Signature Object,Final
365 – Adding the pkg_resources module,Adding the pkg_resources module,Rejected
357 – Allowing Any Object to be Used for Slicing,Allowing Any Object to be Used for Slicing,Final
360 – Externally Maintained Packages,Externally Maintained Packages,Final
359 – The “make” Statement,The “make” Statement,Withdrawn
358 – The “bytes” Object,The “bytes” Object,Final
356 – Python 2.5 Release Schedule,Python 2.5 Release Schedule,Final
352 – Required Superclass for Exceptions,Required Superclass for Exceptions,Final
353 – Using ssize_t as the index type,Using ssize_t as the index type,Final
354 – Enumerations in Python,Enumerations in Python,Superseded
355 – Path,Path - Object oriented filesystem paths,Rejected
351 – The freeze protocol,The freeze protocol,Rejected
350 – Codetags,Codetags,Rejected
349 – Allow str() to return unicode strings,Allow str() to return unicode strings,Rejected
348 – Exception Reorganization for Python 3.0,Exception Reorganization for Python 3.0,Rejected
347 – Migrating the Python CVS to Subversion,Migrating the Python CVS to Subversion,Final
345 – Metadata for Python Software Packages 1.2,Metadata for Python Software Packages 1.2,Superseded
346 – User Defined (”,User Defined (”,Withdrawn
344 – Exception Chaining and Embedded Tracebacks,Exception Chaining and Embedded Tracebacks,Superseded
343 – The “with” Statement,The “with” Statement,Final
341 – Unifying try,Unifying try-except and try-finally,Final
342 – Coroutines via Enhanced Generators,Coroutines via Enhanced Generators,Final
340 – Anonymous Block Statements,Anonymous Block Statements,Rejected
339 – Design of the CPython Compiler,Design of the CPython Compiler,Withdrawn
338 – Executing modules as scripts,Executing modules as scripts,Final
336 – Make None Callable,Make None Callable,Rejected
337 – Logging Usage in the Standard Library,Logging Usage in the Standard Library,Deferred
335 – Overloadable Boolean Operators,Overloadable Boolean Operators,Rejected
334 – Simple Coroutines via SuspendIteration,Simple Coroutines via SuspendIteration,Withdrawn
333 – Python Web Server Gateway Interface v1.0,Python Web Server Gateway Interface v1.0,Final
331 – Locale,Locale-Independent Float/String Conversions,Final
332 – Byte vectors and String/Unicode Unification,Byte vectors and String/Unicode Unification,Rejected
328 – Imports: Multi,Imports: Multi-Line and Absolute/Relative,Final
330 – Python Bytecode Verification,Python Bytecode Verification,Rejected
327 – Decimal Data Type,Decimal Data Type,Final
325 – Resource,Resource-Release Support for Generators,Rejected
326 – A Case for Top and Bottom Values,A Case for Top and Bottom Values,Rejected
322 – Reverse Iteration,Reverse Iteration,Final
323 – Copyable Iterators,Copyable Iterators,Deferred
329 – Treating Builtins as Constants in the Standard Library,Treating Builtins as Constants in the Standard Library,Rejected
324 – subprocess,subprocess - New process module,Final
321 – Date/Time Parsing and Formatting,Date/Time Parsing and Formatting,Withdrawn
318 – Decorators for Functions and Methods,Decorators for Functions and Methods,Final
319 – Python Synchronize/Asynchronize Block,Python Synchronize/Asynchronize Block,Rejected
320 – Python 2.4 Release Schedule,Python 2.4 Release Schedule,Final
316 – Programming by Contract for Python,Programming by Contract for Python,Deferred
315 – Enhanced While Loop,Enhanced While Loop,Rejected
317 – Eliminate Implicit Exception Instantiation,Eliminate Implicit Exception Instantiation,Rejected
313 – Adding Roman Numeral Literals to Python,Adding Roman Numeral Literals to Python,Rejected
314 – Metadata for Python Software Packages 1.1,Metadata for Python Software Packages 1.1,Superseded
311 – Simplified Global Interpreter Lock Acquisition for Extensions,Simplified Global Interpreter Lock Acquisition for Extensions,Final
310 – Reliable Acquisition/Release Pairs,Reliable Acquisition/Release Pairs,Rejected
312 – Simple Implicit Lambda,Simple Implicit Lambda,Deferred
309 – Partial Function Application,Partial Function Application,Final
307 – Extensions to the pickle protocol,Extensions to the pickle protocol,Final
308 – Conditional Expressions,Conditional Expressions,Final
306 – How to Change Python’s Grammar,How to Change Python’s Grammar,Withdrawn
303 – Extend divmod() for Multiple Divisors,Extend divmod() for Multiple Divisors,Rejected
304 – Controlling Generation of Bytecode Files,Controlling Generation of Bytecode Files,Withdrawn
305 – CSV File API,CSV File API,Final
302 – New Import Hooks,New Import Hooks,Final
298 – The Locked Buffer Interface,The Locked Buffer Interface,Withdrawn
299 – Special __main__() function in modules,Special __main__() function in modules,Rejected
301 – Package Index and Metadata for Distutils,Package Index and Metadata for Distutils,Final
296 – Adding a bytes Object Type,Adding a bytes Object Type,Withdrawn
297 – Support for System Upgrades,Support for System Upgrades,Rejected
295 – Interpretation of multiline string constants,Interpretation of multiline string constants,Rejected
294 – Type Names in the types Module,Type Names in the types Module,Rejected
292 – Simpler String Substitutions,Simpler String Substitutions,Final
291 – Backward Compatibility for the Python 2 Standard Library,Backward Compatibility for the Python 2 Standard Library,Final
293 – Codec Error Handling Callbacks,Codec Error Handling Callbacks,Final
290 – Code Migration and Modernization,Code Migration and Modernization,Active
285 – Adding a bool type,Adding a bool type,Final
289 – Generator Expressions,Generator Expressions,Final
287 – reStructuredText Docstring Format,reStructuredText Docstring Format,Active
286 – Enhanced Argument Tuples,Enhanced Argument Tuples,Deferred
288 – Generators Attributes and Exceptions,Generators Attributes and Exceptions,Withdrawn
283 – Python 2.3 Release Schedule,Python 2.3 Release Schedule,Final
284 – Integer for,Integer for-loops,Rejected
282 – A Logging System,A Logging System,Final
281 – Loop Counter Iteration with range and xrange,Loop Counter Iteration with range and xrange,Rejected
279 – The enumerate() built,The enumerate() built-in function,Final
278 – Universal Newline Support,Universal Newline Support,Final
280 – Optimizing access to globals,Optimizing access to globals,Deferred
274 – Dict Comprehensions,Dict Comprehensions,Final
275 – Switching on Multiple Values,Switching on Multiple Values,Rejected
276 – Simple Iterator for ints,Simple Iterator for ints,Rejected
273 – Import Modules from Zip Archives,Import Modules from Zip Archives,Final
277 – Unicode file name support for Windows NT,Unicode file name support for Windows NT,Final
271 – Prefixing sys.path by command line option,Prefixing sys.path by command line option,Rejected
272 – API for Block Encryption Algorithms v1.0,API for Block Encryption Algorithms v1.0,Final
269 – Pgen Module for Python,Pgen Module for Python,Deferred
268 – Extended HTTP functionality and WebDAV,Extended HTTP functionality and WebDAV,Rejected
266 – Optimizing Global Variable/Attribute Access,Optimizing Global Variable/Attribute Access,Withdrawn
267 – Optimized Access to Module Namespaces,Optimized Access to Module Namespaces,Deferred
270 – uniq method for list objects,uniq method for list objects,Rejected
264 – Future statements in simulated shells,Future statements in simulated shells,Final
263 – Defining Python Source Code Encodings,Defining Python Source Code Encodings,Final
265 – Sorting Dictionaries by Value,Sorting Dictionaries by Value,Rejected
262 – A Database of Installed Python Packages,A Database of Installed Python Packages,Rejected
259 – Omit printing newline after newline,Omit printing newline after newline,Rejected
261 – Support for “wide” Unicode characters,Support for “wide” Unicode characters,Final
258 – Docutils Design Specification,Docutils Design Specification,Rejected
260 – Simplify xrange(),Simplify xrange(),Final
257 – Docstring Conventions,Docstring Conventions,Active
254 – Making Classes Look More Like Types,Making Classes Look More Like Types,Rejected
256 – Docstring Processing System Framework,Docstring Processing System Framework,Rejected
255 – Simple Generators,Simple Generators,Final
253 – Subtyping Built,Subtyping Built-in Types,Final
252 – Making Types Look More Like Classes,Making Types Look More Like Classes,Final
250 – Using site,Using site-packages on Windows,Final
251 – Python 2.2 Release Schedule,Python 2.2 Release Schedule,Final
249 – Python Database API Specification v2.0,Python Database API Specification v2.0,Final
246 – Object Adaptation,Object Adaptation,Rejected
247 – API for Cryptographic Hash Functions,API for Cryptographic Hash Functions,Final
245 – Python Interface Syntax,Python Interface Syntax,Rejected
248 – Python Database API Specification v1.0,Python Database API Specification v1.0,Final
244 – The,The,Rejected
243 – Module Repository Upload Mechanism,Module Repository Upload Mechanism,Withdrawn
240 – Adding a Rational Literal to Python,Adding a Rational Literal to Python,Rejected
241 – Metadata for Python Software Packages,Metadata for Python Software Packages,Superseded
242 – Numeric Kinds,Numeric Kinds,Rejected
239 – Adding a Rational Type to Python,Adding a Rational Type to Python,Rejected
238 – Changing the Division Operator,Changing the Division Operator,Final
236 – Back to the __future__,Back to the __future__,Final
237 – Unifying Long Integers and Integers,Unifying Long Integers and Integers,Final
235 – Import on Case,Import on Case-Insensitive Platforms,Final
234 – Iterators,Iterators,Final
229 – Using Distutils to Build Python,Using Distutils to Build Python,Final
230 – Warning Framework,Warning Framework,Final
231 – __findattr__(),__findattr__(),Rejected
233 – Python Online Help,Python Online Help,Deferred
232 – Function Attributes,Function Attributes,Final
226 – Python 2.1 Release Schedule,Python 2.1 Release Schedule,Final
225 – Elementwise/Objectwise Operators,Elementwise/Objectwise Operators,Rejected
228 – Reworking Python’s Numeric Model,Reworking Python’s Numeric Model,Withdrawn
224 – Attribute Docstrings,Attribute Docstrings,Rejected
223 – Change the Meaning of,Change the Meaning of,Final
227 – Statically Nested Scopes,Statically Nested Scopes,Final
221 – Import As,Import As,Final
222 – Web Library Enhancements,Web Library Enhancements,Deferred
"220 – Coroutines, Generators, Continuations","Coroutines, Generators, Continuations",Rejected
218 – Adding a Built,Adding a Built-In Set Object Type,Final
219 – Stackless Python,Stackless Python,Deferred
216 – Docstring Format,Docstring Format,Rejected
217 – Display Hook for Interactive Use,Display Hook for Interactive Use,Final
214 – Extended Print Statement,Extended Print Statement,Final
212 – Loop Counter Iteration,Loop Counter Iteration,Rejected
209 – Multi,Multi-dimensional Arrays,Withdrawn
211 – Adding A New Outer Product Operator,Adding A New Outer Product Operator,Rejected
210 – Decoupling the Interpreter Loop,Decoupling the Interpreter Loop,Rejected
213 – Attribute Access Handlers,Attribute Access Handlers,Deferred
215 – String Interpolation,String Interpolation,Superseded
206 – Python Advanced Library,Python Advanced Library,Withdrawn
205 – Weak References,Weak References,Final
208 – Reworking the Coercion Model,Reworking the Coercion Model,Final
207 – Rich Comparisons,Rich Comparisons,Final
201 – Lockstep Iteration,Lockstep Iteration,Final
203 – Augmented Assignments,Augmented Assignments,Final
204 – Range Literals,Range Literals,Rejected
202 – List Comprehensions,List Comprehensions,Final
160 – Python 1.6 Release Schedule,Python 1.6 Release Schedule,Final
200 – Python 2.0 Release Schedule,Python 2.0 Release Schedule,Final
103 – Collecting information about git,Collecting information about git,Withdrawn
102 – Doing Python Micro Releases,Doing Python Micro Releases,Superseded
101 – Doing Python Releases 101,Doing Python Releases 101,Active
